Data/Hora Inclusăo,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versăo Protocolo,Versăo Firmware,Bateria Interna,Alimentaçăo Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duraçăo da Igniçăo,Precisăo GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-05-06 00:04:13,2025-05-06 00:04:11,2025-05-06 00:02:05,867488061407846,7476,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12706,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 01:04:13,2025-05-06 01:04:11,2025-05-06 01:01:47,867488061407846,7507,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12698,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 02:04:13,2025-05-06 02:04:11,2025-05-06 02:01:47,867488061407846,7538,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12641,0,-,0,0,11,0,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 03:04:13,2025-05-06 03:04:11,2025-05-06 03:01:50,867488061407846,7569,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12666,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 04:04:13,2025-05-06 04:04:11,2025-05-06 04:02:06,867488061407846,7600,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12661,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 05:04:13,2025-05-06 05:04:11,2025-05-06 05:01:46,867488061407846,7631,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12653,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 06:04:13,2025-05-06 06:04:13,2025-05-06 06:02:13,867488061407846,7662,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12647,0,-,0,0,11,0,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 08:58:47,2025-05-06 07:04:13,2025-05-06 07:01:47,867488061407846,7693,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12639,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 08:58:47,2025-05-06 07:04:13,2025-05-06 07:01:47,867488061407846,7693,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12639,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
2025-05-06 08:58:47,2025-05-06 07:04:13,2025-05-06 07:01:47,867488061407846,7693,GTERI,0x09fe3fbf,0x00028102,802003,0x0902,0x0915,100,12639,0,-,0,0,11,12,-,1,0.0,348,763,-12.097448,-45.771843,724,2,937b,077ad20e,1.3,549.1,0:00:00,0:00:00,-,-,0,-,,,,,4,28,0,0,10,
