Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,Tipo Dispositivo,IMEI,Sequência,Tipo Mensagem,Bateria Interna,ERI Mask,Protocol Version,Alimentação Externa,Input Status,Output Status,Motion Status,Duration Ign On,Duration Ign Off,Satélites,Precisão GNSS,MCC,MNC,LAC,Cell ID,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Horímetro Total,CSQ RSSI,CSQ BER,RAT,BAND,ICCID,Ext. Pwr Supply,Charging,LED On,Timezone,Daylight Saving,Wave1 Output ID,Wave1 Output Active,BT Report Mask,BT Name,BT MAC Address,Peer Role,Peer Address Type,Driver ID,Login Status,MS GNSS Accuracy,Max Speed,MS Azimuth,MS Altitude,MS Longitude,MS Latitude,MS GNSS UTC Time,MS Satellite Number,MS Mileage,Position Report Type,Prefixo,Message_Category,Match_Type,Match_ID,delta,Delta,Tempo de fix,Match_Complete
2025-10-15 00:58:52,2025-10-15 00:58:52,2025-10-15 00:56:53,385349,862689070266025,9809,GTERI,3.94,00008200,69840A,13019,82,00,11,,,10,1,0724,0006,C4A7,07A72717,0.0,221,546.1,-23.270398,-51.167853,18489.1,,21,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 00:56:53,10,18489.1,10,+RESP:,T,NA,0,,,119.0,NA_0
2025-10-15 01:58:52,2025-10-15 01:58:52,2025-10-15 01:56:41,385349,862689070266025,9810,GTERI,3.92,00008200,69840A,13011,82,00,11,,,10,1,0724,0006,C4A7,07A72717,0.0,221,546.1,-23.270398,-51.167853,18489.1,,20,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 01:56:41,10,18489.1,10,+RESP:,T,NA,0,,,131.0,NA_0
2025-10-15 02:58:52,2025-10-15 02:58:52,2025-10-15 02:56:43,385349,862689070266025,9811,GTERI,3.90,00008200,69840A,12987,82,00,11,,,6,1,0724,0006,C4A7,07A72717,0.0,221,546.1,-23.270398,-51.167853,18489.1,,19,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 02:56:43,6,18489.1,10,+RESP:,T,NA,0,,,129.0,NA_0
2025-10-15 03:58:52,2025-10-15 03:58:52,2025-10-15 03:56:41,385349,862689070266025,9812,GTERI,3.88,00008200,69840A,12971,82,00,11,,,5,1,0724,0006,C4A7,07A72717,0.0,221,546.1,-23.270398,-51.167853,18489.1,,19,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 03:56:41,5,18489.1,10,+RESP:,T,NA,0,,,131.0,NA_0
2025-10-15 04:58:52,2025-10-15 04:58:52,2025-10-15 04:56:34,385349,862689070266025,9813,GTERI,3.86,00008200,69840A,12963,82,00,11,,,7,1,0724,0006,C4A7,07A72717,0.0,221,546.1,-23.270398,-51.167853,18489.1,,19,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 04:56:34,7,18489.1,10,+RESP:,T,NA,0,,,138.0,NA_0
2025-10-15 05:58:52,2025-10-15 05:58:52,2025-10-15 05:56:38,385349,862689070266025,9814,GTERI,3.85,00008200,69840A,12947,82,00,11,,,8,1,0724,0006,C4A7,07A72717,0.0,221,546.1,-23.270398,-51.167853,18489.1,,20,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 05:56:38,8,18489.1,10,+RESP:,T,NA,0,,,134.0,NA_0
2025-10-15 06:58:52,2025-10-15 06:58:52,2025-10-15 06:56:34,385349,862689070266025,9815,GTERI,3.82,00008200,69840A,12883,82,00,11,,,9,1,0724,0006,C4A7,07A5CC17,0.0,221,546.1,-23.270398,-51.167853,18489.1,,20,0,2,3,,,,,,,,,,,,,,,,1,0.0,221,546.1,-51.167853,-23.270398,2025-10-15 06:56:34,9,18489.1,10,+RESP:,T,NA,0,,,138.0,NA_0
2025-10-15 07:02:46,2025-10-15 07:02:46,2025-10-15 06:56:34,385349,862689070266025,9816,GTIGN,3.82,,69840A,12274,83,00,22,,47032,9,1,0724,0006,C4A7,07A5CC17,0.0,221,546.1,-23.270398,-51.167853,18489.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,X,NA,0,,,372.0,NA_0
2025-10-15 07:03:02,2025-10-15 07:03:02,2025-10-15 07:03:01,385349,862689070266025,9818,GTERI,3.82,00008200,69840A,14188,83,00,22,,,8,1,0724,0006,C4A7,07A5CC17,7.2,348,540.3,-23.269953,-51.167348,18489.2,,19,0,2,3,,,,,,,,,,,,,,,,1,7.4,348,527.1,-51.167620,-23.270222,2025-10-15 07:03:00,8,18489.2,11,+RESP:,T,T5,1,,2.0,1.0,T5_1
2025-10-15 07:04:11,2025-10-15 07:04:10,2025-10-15 07:04:09,385349,862689070266025,9819,GTERI,3.94,00008200,69840A,14340,83,00,22,,,14,1,0724,0006,C4A7,07A5CB15,10.8,296,542.8,-23.268132,-51.167742,18489.5,,22,0,2,3,,,,,,,,,,,,,,,,1,25.7,1,549.0,-51.167705,-23.268668,2025-10-15 07:03:57,13,18489.4,11,+RESP:,T,T5,2,,2.0,1.0,T5_2
2025-10-15 07:05:17,2025-10-15 07:05:17,2025-10-15 07:05:16,385349,862689070266025,9821,GTERI,3.98,00008200,69840A,14228,83,00,22,,,14,1,0724,0006,C4A7,07B2DC16,12.2,327,540.0,-23.268043,-51.172295,18489.9,,21,0,2,3,,,,,,,,,,,,,,,,1,36.4,269,544.6,-51.170958,-23.268133,2025-10-15 07:04:58,13,18489.8,11,+RESP:,T,T1,1,,0.0,1.0,T1_1
2025-10-15 07:05:30,2025-10-15 07:05:30,2025-10-15 07:05:29,385349,862689070266025,9822,GTIGF,3.99,,69840A,13555,82,00,12,164,,14,0,0724,0006,C4A7,07B2DC16,0.0,4,544.9,-23.267790,-51.172300,18490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,X,NA,0,,,1.0,NA_0
2025-10-15 07:07:26,2025-10-15 07:07:26,2025-10-15 07:05:30,385349,862689070266025,9823,GTIGN,3.85,,69840A,13011,83,00,21,,116,14,1,0724,0006,C4A7,07B2DC16,0.0,4,544.9,-23.267790,-51.172300,18490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,X,NA,0,,,116.0,NA_0
2025-10-15 07:08:07,2025-10-15 07:08:08,2025-10-15 07:08:07,385349,862689070266025,9825,GTERI,3.89,00008200,69840A,14300,83,00,22,,,15,1,0724,0006,C4A7,07B2DC16,12.5,14,548.3,-23.267600,-51.172372,18490.0,,24,0,2,3,,,,,,,,,,,,,,,,1,12.5,14,548.3,-51.172372,-23.267600,2025-10-15 07:08:07,15,18490.0,11,+RESP:,T,T1,2,,0.0,1.0,T1_2
2025-10-15 07:08:10,2025-10-15 07:08:11,2025-10-15 07:08:10,385349,862689070266025,9826,GTERI,3.89,00008200,69840A,14268,83,00,22,,,14,1,0724,0006,C4A7,07B2DC16,14.8,77,548.8,-23.267532,-51.172287,18490.0,,21,0,2,3,,,,,,,,,,,,,,,,1,14.8,77,548.8,-51.172287,-23.267532,2025-10-15 07:08:10,14,18490.0,11,+RESP:,T,T1,3,,1.0,1.0,T1_3
2025-10-15 07:08:21,2025-10-15 07:08:22,2025-10-15 07:08:21,385349,862689070266025,9827,GTSPD,3.91,,69840A,14300,83,00,22,,,15,1,0724,0006,C4A7,07B2DC16,42.3,90,547.6,-23.267552,-51.171347,18490.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,X,NA,0,,,1.0,NA_0
2025-10-15 07:08:33,2025-10-15 07:08:34,2025-10-15 07:08:33,385349,862689070266025,9828,GTSPD,3.92,,69840A,14284,83,00,22,,,13,1,0724,0006,C4A7,07A5BC17,34.3,89,543.6,-23.267538,-51.169960,18490.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+RESP:,X,NA,0,,,1.0,NA_0
2025-10-15 07:08:38,2025-10-15 07:08:38,2025-10-15 07:08:37,385349,862689070266025,9829,GTERI,3.94,00008200,69840A,14140,83,00,22,,,15,1,0724,0006,C4A7,07A5BC17,20.0,124,542.7,-23.267562,-51.169705,18490.2,,21,0,2,3,,,,,,,,,,,,,,,,1,25.8,99,542.8,-51.169812,-23.267525,2025-10-15 07:08:35,14,18490.3,11,+RESP:,T,T1,4,,1.0,1.0,T1_4
