Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Serviço,Message Type,Tipo Dispositivo,Event Index,Event Code,Alimentação Externa,Digital Input Status,Ignição,Satélites,HDOP,Fix Status,Velocidade,Azimuth,Altitude,Latitude,Longitude,Hodômetro Total,Accum0,Accum1,Accum2,Accum3,Accum4,Accum5,Accum6,Accum7,Accum8,Accum9,Accum10,Accum11,Accum12,Accum13,Accum14,Accum15,Carrier,RSSI,Comm State
2025-10-20 10:18:12,2025-10-20 10:18:11,2025-10-20 10:18:11,4675644778,858,01,02,83,75,27,19912,0E,0,14,0.8,00,0,297,1035.9,-25.0473292,-51.5408821,61493.7,03AA5194,0021800E,00004DC8,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB9,2F
2025-10-20 09:18:08,2025-10-20 09:18:08,2025-10-20 09:18:08,4675644778,857,01,02,83,75,27,19912,0E,0,13,0.8,00,0,95,1009.9,-25.0473902,-51.5409216,61493.7,03AA5194,0021800E,00004DC8,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBB,2F
2025-10-20 08:18:04,2025-10-20 08:18:04,2025-10-20 08:18:04,4675644778,856,01,02,83,75,27,19912,0E,0,11,0.8,00,0,0,1025.9,-25.0473574,-51.5408878,61493.7,03AA5194,0021800E,00004DC8,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBA,2F
2025-10-20 07:18:00,2025-10-20 07:18:00,2025-10-20 07:18:00,4675644778,855,01,02,83,75,27,19912,0E,0,12,0.8,00,0,0,1038.6,-25.0472765,-51.540877,61493.7,03AA5194,0021800E,00004DC8,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBA,2F
2025-10-20 06:17:56,2025-10-20 06:17:56,2025-10-20 06:17:56,4675644778,854,01,02,83,75,27,19942,0E,0,17,0.6,00,0,350,1023.2,-25.0472985,-51.540903,61493.7,03AA5194,0021800E,00004DE6,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB4,2F
2025-10-20 05:17:54,2025-10-20 05:17:53,2025-10-20 05:17:53,4675644778,853,01,02,83,75,27,19942,0E,0,16,0.7,00,0,323,1018.8,-25.0473417,-51.540852,61493.7,03AA5194,0021800E,00004DE6,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB9,2F
2025-10-20 04:17:51,2025-10-20 04:17:50,2025-10-20 04:17:50,4675644778,852,01,02,83,75,27,19942,0E,0,14,0.7,00,0,337,1020.4,-25.0473525,-51.5408572,61493.7,03AA5194,0021800E,00004DE6,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBC,2F
2025-10-20 03:17:48,2025-10-20 03:17:47,2025-10-20 03:17:47,4675644778,851,01,02,83,75,27,19942,0E,0,15,0.7,00,0,0,1017.8,-25.0473703,-51.5408816,61493.7,03AA5194,0021800E,00004DE6,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBE,2F
2025-10-20 02:17:45,2025-10-20 02:17:44,2025-10-20 02:17:44,4675644778,850,01,02,83,75,27,19973,0E,0,16,0.7,00,0,346,1029.5,-25.0473391,-51.5408786,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBB,2F
2025-10-20 01:17:41,2025-10-20 01:17:41,2025-10-20 01:17:41,4675644778,849,01,02,83,75,27,19973,0E,0,16,0.7,00,0,191,1038.9,-25.0473752,-51.5408329,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBA,2F
2025-10-20 00:17:37,2025-10-20 00:17:37,2025-10-20 00:17:37,4675644778,848,01,02,83,75,27,19973,0E,0,12,0.8,00,0,84,1037.1,-25.0473556,-51.5408305,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBB,2F
2025-10-19 23:17:34,2025-10-19 23:17:33,2025-10-19 23:17:33,4675644778,847,01,02,83,75,27,19973,0E,0,14,0.7,00,0,0,1030.1,-25.047394,-51.5408033,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBC,2F
2025-10-19 22:17:31,2025-10-19 22:17:30,2025-10-19 22:17:30,4675644778,846,01,02,83,75,27,19973,0E,0,15,0.7,00,0,282,1023.6,-25.0474019,-51.5408572,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFBB,2F
2025-10-19 21:17:28,2025-10-19 21:17:27,2025-10-19 21:17:27,4675644778,845,01,02,83,75,27,19973,0E,0,15,0.7,00,0,203,1041.8,-25.0474293,-51.5407883,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB9,2F
2025-10-19 20:17:25,2025-10-19 20:17:24,2025-10-19 20:17:24,4675644778,844,01,02,83,75,27,19973,0E,0,11,0.9,00,0,0,1023.6,-25.0473993,-51.5408556,61493.7,03AA5194,0021800E,00004E05,8908E0D7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,0004,FFB9,2F
