Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Match_Type,Match_ID,Message_Category
2025-05-13 01:34:04,2025-05-13 01:34:04,2025-05-13 01:31:37,867488061407846.0,5233.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12766.0,0.0,-,0.0,0.0,11.0,12.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,1,T
2025-05-13 02:34:04,2025-05-13 02:34:04,2025-05-13 02:31:37,867488061407846.0,5264.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12665.0,0.0,-,0.0,0.0,11.0,10.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,2,T
2025-05-13 03:34:04,2025-05-13 03:34:04,2025-05-13 03:31:37,867488061407846.0,5295.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12743.0,0.0,-,0.0,0.0,11.0,11.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,3,T
2025-05-13 04:34:04,2025-05-13 04:34:04,2025-05-13 04:31:40,867488061407846.0,5326.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12638.0,0.0,-,0.0,0.0,11.0,8.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,4,T
2025-05-13 05:34:04,2025-05-13 05:34:04,2025-05-13 05:31:43,867488061407846.0,5357.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12715.0,0.0,-,0.0,0.0,11.0,11.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,5,T
2025-05-13 06:34:04,2025-05-13 06:34:04,2025-05-13 06:32:06,867488061407846.0,5388.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12691.0,0.0,-,0.0,0.0,11.0,12.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,6,T
2025-05-13 07:34:04,2025-05-13 07:34:04,2025-05-13 07:31:36,867488061407846.0,5419.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12724.0,0.0,-,0.0,0.0,11.0,10.0,-,1.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,4.7,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,7,T
2025-05-13 08:15:01,2025-05-13 08:15:01,2025-05-13 07:31:36,867488061407846.0,5440.0,GTIGN,0x09fe7fbf,,802003.0,0x0a04,0x0a14,100.0,12422.0,0.0,0,1.0,0.0,22.0,10.0,56454,0.0,0.0,352.0,762.0,-12.097445,-45.771861,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,,,,,,,I1,1,I
2025-05-13 08:15:09,2025-05-13 08:15:09,2025-05-13 08:15:09,867488061407846.0,5442.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12573.0,0.0,-,1.0,0.0,22.0,11.0,-,1.0,4.0,156.0,713.0,-12.097338,-45.771849,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,10,,T1,8,T
2025-05-13 08:15:14,2025-05-13 08:15:14,2025-05-13 08:15:12,867488061407846.0,5444.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12573.0,0.0,-,1.0,0.0,22.0,10.0,-,1.0,3.6,218.0,720.0,-12.097365,-45.771888,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T5,1,T
2025-05-13 08:15:15,2025-05-13 08:15:15,2025-05-13 08:15:14,867488061407846.0,5445.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12640.0,0.0,-,1.0,0.0,22.0,11.0,-,1.0,5.8,280.0,724.0,-12.097376,-45.771894,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T5,2,T
2025-05-13 08:15:16,2025-05-13 08:15:16,2025-05-13 08:15:16,867488061407846.0,5446.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12640.0,0.0,-,1.0,0.0,22.0,10.0,-,1.0,8.2,310.0,730.0,-12.097367,-45.771949,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T1,9,T
2025-05-13 08:15:18,2025-05-13 08:15:18,2025-05-13 08:15:18,867488061407846.0,5447.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12640.0,0.0,-,1.0,0.0,22.0,11.0,-,1.0,12.9,342.0,733.0,-12.097323,-45.771963,724.0,2.0,937b,077ad212,0.0,1140.5,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T1,10,T
2025-05-13 08:15:49,2025-05-13 08:15:49,2025-05-13 08:15:49,867488061407846.0,5449.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14001.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,20.5,311.0,737.0,-12.095527,-45.772275,724.0,2.0,937b,077ab28d,0.2,1140.7,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11,,T1,11,T
2025-05-13 08:15:51,2025-05-13 08:15:51,2025-05-13 08:15:51,867488061407846.0,5450.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,14001.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,22.9,274.0,738.0,-12.095499,-45.77238,724.0,2.0,937b,077ab28d,0.2,1140.8,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11,,T1,12,T
2025-05-13 08:16:20,2025-05-13 08:16:20,2025-05-13 08:16:20,867488061407846.0,5451.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13988.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,11.4,312.0,743.0,-12.095689,-45.774062,724.0,2.0,937b,077ad311,0.4,1140.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T1,13,T
2025-05-13 08:16:23,2025-05-13 08:16:23,2025-05-13 08:16:23,867488061407846.0,5452.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,12870.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,12.9,348.0,743.0,-12.095607,-45.774096,724.0,2.0,937b,077ad311,0.4,1140.9,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T1,14,T
2025-05-13 08:16:40,2025-05-13 08:16:40,2025-05-13 08:16:40,867488061407846.0,5453.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13974.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,17.5,30.0,747.0,-12.094692,-45.774184,724.0,2.0,937b,077ad311,0.5,1141.0,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T1,15,T
2025-05-13 08:16:42,2025-05-13 08:16:42,2025-05-13 08:16:42,867488061407846.0,5454.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13974.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,23.6,71.0,747.0,-12.094639,-45.774096,724.0,2.0,937b,077ad311,0.5,1141.0,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,5.0,0.0,0.0,11,,T1,16,T
2025-05-13 08:16:53,2025-05-13 08:16:53,2025-05-13 08:16:52,867488061407846.0,5455.0,GTERI,0x09fe3fbf,0x00028102,802003.0,0x0a04,0x0a14,100.0,13331.0,0.0,-,1.0,0.0,22.0,12.0,-,1.0,23.2,29.0,749.0,-12.094429,-45.773381,724.0,2.0,937b,077ab28d,0.6,1141.1,0:00:00,0:00:00,-,-,0.0,-,,,,,4.0,1.0,0.0,0.0,11,,T5,3,T
